Catalog#,Artist,Title,Query_Spotify,Spotify_Album_Art_URL,Spotify_Artist_URL,Spotify_Album_URL,Trade_or_Sell,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Low,Median,High,Collection Notes,Artist Collection,Last modified time
LBJ-158,Bright Eyes,The People's Key,,https://i.scdn.co/image/ab67616d0000b27360b41842a5220fabed83948d,https://open.spotify.com/artist/5o206eFLx38glA2bb4zqIU,https://open.spotify.com/album/1Yy0Y3HkR8SjDHvro3zBei,,Saddle Creek,"LP, Album, 180",,,2801152,Uncategorized,2018-10-21 21:59,,,,,,2/4/2024 6:28pm
FAN00464,Lukas Nelson & Promise Of The Real,Turn Off The News (Build A Garden),,https://i.scdn.co/image/ab67616d0000b27362f5158f5bd087a0714af716,https://open.spotify.com/artist/5iXYJYmMcjlTFL1qA8UfgY,https://open.spotify.com/album/4pq1gNWh38JQfazZqxjH5m,,Fantasy,"LP, Album, Gre + 7""",,,13768248,Uncategorized,2019-09-30 21:10,,,,,,2/4/2024 6:56pm
FP1087-3,Townes Van Zandt,For The Sake Of The Song,,https://i.scdn.co/image/ab67616d0000b27366b60dd415f61d4928503143,https://open.spotify.com/artist/3ZWab2LEVkNKiBPIClTwof,https://open.spotify.com/album/197FVfctDJPLLqTI48OJBs,,Fat Possum Records,"LP, Album, Club, RE, RM, 180",,,12617233,Uncategorized,2018-10-24 01:54,,,,,,2/4/2024 6:30pm
none,"John Hartford, Tony Rice, Vassar Clements","Hartford, Rice & Clements",,https://i.scdn.co/image/ab67616d0000b27368efe42dd988e5fc9e943664,https://open.spotify.com/artist/49mpQI5LCuGMDPdmYZtpno,https://open.spotify.com/album/1j50fQVMhL35005vmLhycU,,Small Dog A-Barkin',"LP, Album, RE",,,13866598,Bluegrass,2023-01-12 17:57,,,,,,2/4/2024 6:53pm
558777-1,Fleet Foxes,Crack-Up,,https://i.scdn.co/image/ab67616d0000b27371b24e854cdd7633cb5baaa7,https://open.spotify.com/artist/4EVpmkEwrLYEg6jIsiPMIb,https://open.spotify.com/album/0xtTojp4zfartyGtbFKN3v,,Nonesuch,"2xLP, Album",,,10440215,Uncategorized,2018-10-24 03:03,,,,,,2/4/2024 6:56pm
"2MS 2024, 2024",The Mothers,Uncle Meat,,https://i.scdn.co/image/ab67616d0000b27371f9b022242acb3b35b3b0b3,https://open.spotify.com/artist/6ra4GIOgCZQZMOaUECftGN,https://open.spotify.com/album/4g97BOZb8mXl9BzBB3DX1m,,"Bizarre Records, Bizarre Records, Reprise Records","2xLP, Album, CTH",,,544300,Uncategorized,2020-03-17 02:30,,,,,,2/4/2024 6:31pm
SP915,The Head And The Heart,The Head And The Heart,,https://i.scdn.co/image/ab67616d0000b27372d71d9702770c8f3b9ecc01,https://open.spotify.com/artist/0n94vC3S9c3mb2HyNAOcjg,https://open.spotify.com/album/4wM8y2tEaXEfGewxGPFzyu,,Sub Pop,"LP, Album",,,2832647,Uncategorized,2018-10-24 02:58,,,,,,2/4/2024 6:52pm
SP 888,Fleet Foxes,Helplessness Blues,,https://i.scdn.co/image/ab67616d0000b27375ff22a37b0cc0381d11c2c1,https://open.spotify.com/artist/4EVpmkEwrLYEg6jIsiPMIb,https://open.spotify.com/album/7D0rCfJjFj9x0bdgRKtvzb,,Sub Pop,"2xLP, Album, Gat",,,2856645,Uncategorized,2018-10-24 03:01,,,,,,2/4/2024 6:32pm
MP431,Sleater-Kinney,The Center Won't Hold,,https://i.scdn.co/image/ab67616d0000b27377d8b5d101b97d6575726bec,https://open.spotify.com/artist/4wLIbcoqmqI4WZHDiBxeCB,https://open.spotify.com/album/6ArjrXMlLegKiAPOp34K58,checked,Mom + Pop,"LP, Album, Club, Red",3,,13980901,Uncategorized,2019-08-19 19:23,,,,,,2/4/2024 6:47pm
WCV050VMP,Buena Vista Social Club,Buena Vista Social Club,,https://i.scdn.co/image/ab67616d0000b27377f24377cdb35054dcb1f627,https://open.spotify.com/artist/11kBu957KTYoAltZHDm8gW,https://open.spotify.com/album/5qcOy8sMqROZ0VEfK8LJZt,checked,"World Circuit, BMG","2xLP, Album, Club, RE, Red",,,15755719,Uncategorized,2020-11-16 03:24,,,,,,2/4/2024 6:52pm
